Countries,0,1,2,3,4,5,6,7,8
Ghana,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,63277216928.5093,53601126663.9079,49181854798.2552,55009730600.0307
Greece,354460802548704,330000252153376,299361576558217,287797822093178,245670666639047,239862011450103,237029579260722,196591353761226,195222443512937
Guatemala,39136954237.8479,37734072275.5946,41338521642.0274,47654783850.6388,50388460920182,53851148431932,58722323918.1604,63767597193.9175,68663653469.1246
Guinea,6964179254.97388,6716904635.18733,6853467936.39129,6785137222.16956,7638045248.45942,8376613796.93426,8778473640.90839,8794202409.5678,8694360304.56367
Guinea-Bissau,864654795.287148,826798659.766283,849050127.504407,1098379391.95039,989327811.785114,1045790132.98518,1053512334.17271,1047808175.00057,1178204501.38801
Guyana,1916996251.59539,2061324145.62393,2273224261.15644,2576024015.5869,2861560060.9322,2987684143.46656,3077643261.39312,3197222215.01211,3504024213.07506
Haiti,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776350789.5993,8724656126.49849,7970649131.23416
Honduras,13789715132502,14587496229.1811,15839344591.9842,17710315005.9999,18528601901324,18499710127.8385,19756494434.7031,20979767785.2104,21643936938.9096
Hong Kong,219279678430164,214046415026187,228637697575.04,248513617677287,262629441493476,275696879834966,291459356985337,309383627028561,320881182123855
Hungary,157998423131739,130593960612172,130922638689071,140782064609187,127856647107.82,135220881110441,140082504424588,123074092703141,126007978024.32
Iceland,17658408759.0494,12944114736.1985,13683689802.2771,15158548597.3876,14724078264.24,16033517529.2506,17758089312.4856,17344165907.2129,20716024757.4057
India,1198895498504.14,1341886699393.18,1675615312693.42,1823049927772.05,1827637859136.23,1856722121394.42,2039127446299.3,2103587813812.2,2290432075123.55
Indonesia,510228634992255,539580085612401,755094160363073,892969107923097,917869910105748,912524136718019,890814755233225,860854235065079,931877364177742
Iran,406070949553875,414059094949063,487069570463768,583500357530414,598853401276101,467414852231299,434474616831914,385874474398.59,418976679728567
Iraq,131613661510475,111660855042735,138516722649573,185749664444444,218000986222639,234648370497427,234648370497427,177498577312923,170559560067682
Ireland,275020023436356,236311336482356,222134042030.2,237907714639.4,225128651298079,238890278093278,259101611738068,291092489805942,302242900803522
